,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
13804,150.1082306,2.3256476,1,0.007792,54520100000.0,1.8496,0.752839,1.17444,1.19863,0,,
13806,150.0961456,2.3255982,1,0.001287,9259660000.0,1.9112,0.230479,1.02386,2.16319,0,,
13808,150.0335846,2.3253362,1,0.01497,5143070000.0,0.5247,0.496302,1.85452,4.38036,0,,
13810,150.099762,2.3255866,1,0.009148,65051700000.0,1.6349,0.477393,0.792886,0.957807,0,,
13812,150.1992798,2.3239453,1,0.01108,3512110000.0,0.5135,1.55372,2.92955,4.70629,0,,
13813,150.2151184,2.3254566,1,0.00897,98957800000.0,2.3348,1.03241,1.4888,1.49532,0,,
13814,150.0567627,2.326205,1,0.004647,134287000000.0,2.8344,0.226067,0.386907,0.432542,0,,
13815,150.1281128,2.3263822,1,0.009486,15647700000.0,1.0509,0.131144,0.234683,0.193371,0,,
13817,150.1489563,2.3225324,1,0.1263,26119700000.0,0.4288,3.4867,15.0522,66.7966,0,,
13820,150.2098999,2.3252678,1,0.001626,437081000.0,0.4837,0.543096,1.08283,1.84837,0,,
13821,150.0929413,2.3252316,1,0.03811,194036000000.0,1.396,1.14757,2.43268,4.15728,0,,
13822,150.1000366,2.3258507,1,0.007889,564177000.0,0.2975,0.0844117,0.317336,0.658264,0,,
13827,150.1994934,2.3258755,1,0.02347,37476300000.0,1.0435,0.120182,0.176824,0.371672,0,,
13829,150.1064148,2.3262942,1,0.003309,540449000000.0,3.7,0.157082,0.231812,0.179343,0,,
13830,150.2328339,2.3256402,1,0.01897,117700000000.0,1.5076,0.693751,1.52134,3.43694,0,,
13831,150.1101074,2.3259797,1,0.006435,58573300000.0,2.1688,0.366832,0.447777,0.391598,0,,
13833,150.1014252,2.3263457,1,0.0118,9410010000.0,0.756,0.108951,0.216049,0.430872,0,,
13835,150.0906372,2.3250375,1,0.001547,63570900.0,0.2411,1.15262,1.97437,2.39909,0,,
13837,150.1056976,2.3263342,1,0.01016,218995000.0,0.1821,0.0344621,0.0589348,0.110874,0,,
13840,150.0565033,2.3262899,1,0.004562,172140000000.0,2.9041,0.372202,0.6122,0.613598,0,,
13842,150.2330933,2.3261454,1,0.004846,5094810000.0,0.8914,0.322531,0.56308,0.890387,0,,
13844,150.1999512,2.3249183,1,0.01016,131596000.0,0.147,1.92899,3.43554,5.2353,0,,
13846,150.1396332,2.3263445,1,0.0001791,109715000.0,0.6673,0.114633,0.20751,0.2628,0,,
13850,150.1485748,2.3246315,1,0.1416,128780000000.0,0.8096,2.18257,9.36687,29.7664,0,,
13853,150.1604004,2.3266463,1,0.005143,42294700000.0,2.0619,0.224624,0.281158,0.290826,0,,
13855,150.1831512,2.3253484,1,0.002369,199902000.0,0.3175,0.673183,1.48894,2.29688,0,,
13856,150.1126251,2.3254409,1,0.01109,56464400000.0,1.3928,0.815103,1.59794,2.59144,0,,
13857,150.0679474,2.3268037,1,0.01935,6191950000000.0,4.8771,0.253381,0.563867,4.10405,0,,
13861,150.0694275,2.3266573,1,0.01389,322892000.0,0.1889,0.186918,0.326049,0.503782,0,,
13862,150.2244873,2.3256795,1,0.01152,12388000000.0,0.9012,0.611344,1.55418,2.1955,0,,
13865,150.1407013,2.3267655,1,0.003302,2374970000.0,0.7202,0.11868,0.196966,0.246009,0,,
13866,150.0632935,2.326257,1,0.01257,73764900000.0,1.4611,0.39911,0.861141,1.51149,0,,
13868,150.1053009,2.3258877,1,0.09067,632673000000.0,1.8371,0.506196,1.37439,4.93405,0,,
13870,150.1099243,2.3266637,1,0.009872,95556500.0,0.1335,0.0637521,0.194195,0.437778,0,,
13874,150.1785126,2.3269978,1,0.003234,1053470000000.0,5.058,0.20793,0.175044,0.0771741,0,,
13875,150.1423798,2.3264959,1,0.01327,9544480000.0,0.7204,0.169154,0.328893,0.545971,0,,
13876,150.0948944,2.3262143,1,0.01101,1346030000.0,0.3616,0.653014,1.58415,2.95261,0,,
13889,150.0678101,2.3262434,1,0.01161,3254240000.0,0.4873,0.168222,0.658359,1.38105,0,,
13891,150.0691681,2.3268139,1,0.01364,95249200000.0,1.7833,0.243245,0.456611,0.315658,0,,
13892,150.055542,2.3231139,1,0.09526,45356600000.0,0.6016,3.10409,9.61768,29.8632,0,,
13895,150.20047,2.3261824,1,0.01685,9797870000.0,0.6514,1.08747,2.50396,4.43336,0,,
13897,150.07547,2.3260431,1,0.01403,15493700000.0,0.9081,1.99645,3.07207,3.89891,0,,
13898,150.1677704,2.3273838,1,0.005773,226591000000.0,3.0053,0.0919321,0.204079,0.139987,0,,
13900,150.1542664,2.3261023,1,0.02268,18985400000.0,0.7743,1.95228,3.18795,4.30247,0,,
13902,150.0882721,2.3272145,1,0.001658,4831540000.0,1.2451,0.191719,0.35332,0.451466,0,,
13903,150.1160431,2.3273613,1,0.0003319,22684400000.0,3.2329,0.158577,0.224559,0.303258,0,,
13904,150.1807556,2.3250775,1,0.001118,804124000.0,0.7248,2.32219,4.97515,8.27814,0,,
13911,150.089035,2.3274846,1,0.006049,42112400000.0,1.8063,0.250122,0.363514,0.378745,0,,
13914,150.0319214,2.3274341,1,0.001633,3157550000.0,1.1006,0.158029,0.26496,0.607125,0,,
13917,150.2253418,2.3259649,1,0.05009,22227500000.0,0.579,2.72661,4.50478,6.72882,0,,
13918,150.0596619,2.3263247,1,3.345e-05,26020300.0,0.7452,1.05209,2.79902,4.89814,0,,
13921,150.1135101,2.3274095,1,0.01027,204675000.0,0.1784,0.0766418,0.162468,0.303177,0,,
13922,150.1056519,2.3267951,1,0.0001893,31987300000.0,3.7118,1.01755,1.53749,2.75825,0,,
13923,150.1684875,2.3270752,1,0.00383,86737400000.0,2.6962,0.427288,0.647662,0.911475,0,,
13927,150.2197876,2.3262768,1,0.02595,180375000000.0,1.5947,1.0795,2.53235,4.94149,0,,
13928,150.1859131,2.3269553,1,0.002821,102595000000.0,2.9792,0.690752,1.72129,4.0399,0,,
13932,150.091217,2.3274333,1,0.01243,6095190000.0,0.61,0.253385,0.528707,0.670576,0,,
13933,150.2195129,2.3268614,1,0.06033,414162000000.0,1.5797,0.590761,1.49233,3.87408,0,,
13934,150.0918274,2.3270416,1,0.01978,17659200000.0,0.7994,0.263183,0.594922,1.49374,0,,
