Seq,RAJ2000,DEJ2000,Use,lmass,F24,LIR,SFR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN,l_down,l_up,160_good
9522,53.1460381,-27.8519363,1,8.39,0.0004685,3580190000.0,0.4796,1.9755,0.0362988,0.0692964,0.0742698,0,,,2658149078.9803047,4634211739.631015,0
9527,53.1562767,-27.8516769,1,7.84,-0.001024,-275259000.0,-0.02454,0.4825,0.0202146,0.0555658,0.128876,0,,,-162092894.70119667,-422379900.67063385,0
9535,53.115757,-27.8515568,1,9.22,-0.002407,-660138000000.0,-71.15,4.2461,0.202547,0.197388,0.358855,0,,,-489645534899.5549,-850712254427.095,0
9553,53.1056786,-27.85145,1,8.7,0.003061,32218700000.0,3.813,2.2879,0.119855,0.145775,0.154906,0,,,23307273873.668247,42502322905.578575,0
9568,53.0533295,-27.8507538,1,8.73,-0.003493,-18839700000.0,-1.679,1.4141,0.263292,0.42019,0.516932,0,,,-12633556146.54721,-26179713148.0067,0
9573,53.0741501,-27.8512096,1,7.93,-0.02105,-4868590000000.0,-530.0,3.9433,0.164952,0.476144,1.61014,0,,,-3747210446786.0303,-6102265044068.269,0
9583,53.0846252,-27.851038,1,9.05,0.007516,61809700000.0,7.264,2.0503,0.222821,0.332745,0.37157,0,,,44195910292.01273,82418993001.5209,0
9590,53.0561104,-27.8510704,1,7.77,0.001381,1019340000.0,0.1707,0.7344,0.0855888,0.132388,0.213365,0,,,723763183.3310972,1364475626.5897925,0
9599,53.1614456,-27.8511543,1,8.66,-0.004755,-212605000000.0,-22.72,3.0518,0.104587,0.118181,0.128705,0,,,-160630044976.65964,-271183002513.7925,0
9609,53.1025925,-27.8504524,1,9.56,0.008778,63780000000.0,8.029,1.9186,0.513338,0.976593,1.40692,0,,,47223418280.81583,82769760138.68712,0
9612,53.1028671,-27.8511353,1,8.72,0.009975,87072900000.0,9.668,2.1117,0.0837127,0.10829,0.154365,0,,,62463597761.399,115757460012.11844,0
9649,53.0806503,-27.8507557,1,8.47,-0.002484,-15145200000.0,-1.476,1.4941,0.111317,0.188594,0.340883,0,,,-10217757227.824848,-20928758298.19877,0
9674,53.1515656,-27.8501282,1,8.36,-0.004029,-9497470000.0,-0.9022,1.179,0.116619,0.216025,0.254988,0,,,-6955122387.539664,-12414308234.113997,0
9681,53.1107254,-27.8504467,1,9.14,-0.006916,-500179000000.0,-54.13,3.2566,0.0823897,0.115233,0.172206,0,,,-379867966031.5759,-634888675978.3884,0
9682,53.1675034,-27.8501034,1,8.3,-0.004799,-33992900000.0,-3.552,1.7374,0.0888358,0.173536,0.0977958,0,,,-24917736750.95046,-44525513073.90416,0
9722,53.0959435,-27.8493881,1,8.99,0.005326,104380000000.0,12.02,2.6216,0.183048,0.322962,0.363198,0,,,69086839596.11531,145700818218.86838,0
9727,53.0529709,-27.8496132,1,8.86,-0.024256,-3304820000000.0,-359.8,3.5871,0.106142,0.122813,0.154964,0,,,-2527739303597.746,-4166929260570.824,0
9749,53.0520477,-27.8496933,1,8.73,-0.004829,-101765000000.0,-10.7,2.666,0.133703,0.155774,0.238598,0,,,-67475686630.48133,-141818350445.7075,0
9753,53.1725082,-27.8492489,1,9.07,-0.004552,-186081000000.0,-19.45,3.0133,0.238746,0.365816,0.252048,0,,,-140441745194.1245,-237586194990.2721,0
9758,53.1529999,-27.849165,1,8.66,-0.0005519,-3970790000.0,-0.1962,1.9057,0.110321,0.210424,0.180065,0,,,-2938106913.3231163,-5156161439.754668,0
9759,53.1502724,-27.8494911,1,7.09,-0.007572,-480893000.0,-0.052,0.2816,0.00914815,0.0364999,0.107492,0,,,-312613789.43365,-701443863.7399585,0
9761,53.0869789,-27.8494759,1,7.59,-0.007732,-5136320000.0,-0.5381,0.6961,0.0400577,0.0779518,0.111065,0,,,-3627019750.394227,-6910328405.435746,0
9768,53.1159782,-27.8493309,1,8.52,0.001059,8464100000.0,1.176,2.0272,0.0915948,0.130453,0.128595,0,,,6044353461.746253,11299581436.789345,0
9770,53.1299591,-27.8492832,1,7.9,-0.001661,-1869640000.0,-0.1149,0.9265,0.106282,0.150005,0.19952,0,,,-1142675509.262328,-2732816529.1628294,0
9773,53.1563568,-27.8491783,1,8.52,-0.004639,-49872500000.0,-5.217,2.3107,0.10141,0.137708,0.114274,0,,,-36113874158.41131,-65730631248.288994,0
9776,53.1651802,-27.8492355,1,8.41,-0.001046,-7093100000.0,-0.6337,1.5698,0.104544,0.173761,0.129265,0,,,-4810151430.181232,-9755074188.708796,0
9792,53.1319923,-27.848877,1,8.75,-0.000394,-8601600000.0,-0.2944,2.6727,0.248686,0.261036,0.21155,0,,,-5704822588.412464,-11984171825.778746,0
9795,53.0987701,-27.8493004,1,7.56,0.0004128,226535000.0,0.05726,0.638,0.0817732,0.134006,0.124327,0,,,158454313.489609,307452090.8271853,0
9797,53.1255074,-27.848608,1,7.52,0.002218,1289710000.0,0.1895,0.652,0.090128,0.134423,0.153076,0,,,904315756.148239,1746478151.4771502,0
9827,53.130024,-27.8484688,1,8.61,0.0005661,285701000.0,0.04316,0.6149,0.0651718,0.288503,0.621296,0,,,198990294.4272382,389263913.8312556,0
9842,53.134964,-27.8482208,1,8.36,0.004564,3730130000.0,0.4329,0.7668,0.0736025,0.200109,0.383501,0,,,2659725548.8376136,4973562975.053153,0
9845,53.1606064,-27.8485508,1,8.98,-0.004201,-476341000000.0,-51.41,3.4747,0.157312,0.173206,0.164399,0,,,-363516281593.39154,-601882091264.1434,0
9849,53.1421585,-27.8488102,1,8.57,-0.005276,-802104000000.0,-86.97,3.656,0.0964793,0.128764,0.0415521,0,,,-614305247981.0479,-1010090417396.0583,0
9856,53.0844612,-27.8486271,1,8.09,-0.0001507,-108391000.0,0.009255,0.7197,0.0489669,0.131053,0.238442,0,,,-76804371.31440955,-145364683.80929196,0
9860,53.1553345,-27.8487377,1,8.17,-0.003988,-27043300000.0,-2.787,1.5631,0.0970889,0.145068,0.073991,0,,,-18331273751.451214,-37207453458.237465,0
9867,53.1283607,-27.8485928,1,8.01,-0.00479,-3357760000.0,-0.3612,0.7098,0.0169369,0.0734195,0.144427,0,,,-2375892804.114953,-4509043054.839833,0
9872,53.0933838,-27.8486004,1,9.14,0.005196,546651000000.0,59.88,3.4162,0.0711107,0.122224,0.100359,0,,,416658590991.67474,691527379952.0972,0
9875,53.0654716,-27.8486004,1,9.5,0.006046,1667780000000.0,182.4,4.2678,0.120366,0.263026,0.116247,0,,,1237512069087.4446,2148485901125.6208,0
9899,53.1545563,-27.8483963,1,7.11,-0.003506,-186045000.0,-0.01579,0.2628,0.041681,0.0655429,0.132419,0,,,-119028058.15587322,-274967370.02510643,0
9907,53.1604042,-27.8476906,1,8.88,-0.002533,-5970980000.0,-0.01788,1.164,0.504631,0.755464,0.960011,0,,,-4367482504.293021,-7813355221.020836,0
9911,53.1157417,-27.8482113,1,8.42,0.004742,12761400000.0,1.454,1.2259,0.0643146,0.132664,0.162529,0,,,8410610497.69536,18016309246.99036,0
9916,53.0914917,-27.8482761,1,8.84,0.006542,51403300000.0,5.82,2.0129,0.0970148,0.150927,0.224106,0,,,36678293299.68302,68674356214.45925,0
9932,53.1712837,-27.8480663,1,8.6,0.001756,276308000000.0,30.69,3.6755,0.179925,0.234493,0.265731,0,,,211691807140.44995,347835778758.5395,0
9936,53.0927505,-27.8478069,1,8.28,0.01154,12989500000.0,1.472,0.9241,0.0736711,0.137261,0.228096,0,,,7936660335.971779,18991328583.240486,0
9943,53.10532,-27.8470631,1,8.7,-0.00172,-12284000000.0,-0.8912,1.7162,0.234757,0.363862,0.35004,0,,,-8992705597.546759,-16109664216.875988,0
9944,53.1582108,-27.8479404,1,8.39,-0.006672,-251757000000.0,-27.12,2.9909,0.0780985,0.0857347,0.0668031,0,,,-168831406475.5461,-347179938904.18335,0
9959,53.0538445,-27.847681,1,8.01,-2.885e-05,-24150300.0,0.04975,0.7767,0.0917426,0.181164,0.239494,0,,,-17241181.685313873,-32164135.27305261,0
9965,53.0585938,-27.847456,1,9.16,0.006197,550046000000.0,60.91,3.3254,0.231201,0.336914,0.236064,0,,,418407088791.8202,697138015706.0726,0
9971,53.1403046,-27.8475819,1,8.18,-0.006247,-43839400000.0,-4.628,1.7716,0.0699808,0.100193,0.0853502,0,,,-32201437643.84878,-57314245253.41034,0
9983,53.0859642,-27.847765,1,8.76,-0.008971,-63407600000.0,-6.738,1.8737,0.118283,0.187996,0.312673,0,,,-46839787120.03359,-82462609143.19424,0
9992,53.0917435,-27.8475018,1,7.84,0.005031,4111800000.0,0.5273,0.7629,0.12032,0.192881,0.221172,0,,,2930432956.7221284,5484961659.22587,0
9995,53.167038,-27.8471203,1,9.35,0.0006465,198457000000.0,22.38,4.641,0.166377,0.238054,0.504798,0,,,148129889030.45728,254235405539.6482,0
9999,53.1585655,-27.8474388,1,8.13,-0.005759,-41210100000.0,-4.322,1.6903,0.0748859,0.0857206,0.089453,0,,,-28150211098.284443,-56294625853.86185,0
10010,53.0591583,-27.847147,1,8.57,0.002257,181402000000.0,20.28,3.2957,0.10218,0.128346,0.144647,0,,,137894419569.14526,230059454902.39563,0
10011,53.1014252,-27.8464642,1,8.52,0.04579,39220100000.0,4.301,0.78,0.0773531,0.2678,0.49806,0,,,28010931081.53439,52215067456.072754,0
10013,53.1153297,-27.847105,1,8.96,-0.002885,-128994000000.0,-13.59,3.0647,0.130105,0.180104,0.212401,0,,,-97493123786.75856,-164481396885.10733,0
10020,53.139782,-27.8472958,1,8.11,-0.004926,-12372000000.0,-1.227,1.1936,0.0997876,0.151892,0.165765,0,,,-9070315362.597103,-16154768644.243176,0
10024,53.1144485,-27.8473473,1,8.83,0.001585,287361000000.0,31.5,3.7572,0.0442926,0.0721149,0.108969,0,,,220484498032.5894,361245320350.2692,0
10034,53.0937538,-27.8473988,1,7.45,0.00408,1293270000.0,0.1451,0.5091,0.0149369,0.0464823,0.0756179,0,,,768723595.1508186,1968387111.1157527,0
10038,53.0814934,-27.8470402,1,8.84,-0.001727,-547123000000.0,-59.0,4.8291,0.122804,0.137003,0.0255367,0,,,-409447755987.00793,-699159671400.109,0
10041,53.0982475,-27.84659,1,9.17,0.0003942,31683000000.0,4.029,3.2833,0.149699,0.205183,0.176402,0,,,24077198179.40459,40192219261.15526,0
10050,53.1117325,-27.8463707,1,9.19,0.002935,152350000000.0,17.47,3.1274,0.248673,0.408107,0.336234,0,,,115335586970.00468,193962435259.734,0
10051,53.1755371,-27.8466663,1,8.53,-0.002931,-20619800000.0,-2.004,1.866,0.10878,0.191158,0.193587,0,,,-15225858415.732044,-26826488720.140133,0
10056,53.1055908,-27.8468628,1,7.73,-0.00422,-4074140000.0,-0.395,0.8433,0.0663438,0.113745,0.190849,0,,,-2464193480.224193,-6012476771.506149,0
10068,53.0716858,-27.8469296,1,8.97,0.001519,134827000000.0,14.99,3.3325,0.0893325,0.123471,0.177019,0,,,102576223460.68304,170856240143.65842,0
10069,53.1088982,-27.846962,1,8.68,-0.000803,-94473700000.0,-9.982,3.4786,0.0665348,0.0717813,0.0149173,0,,,-72102758236.18309,-119363425188.7386,0
10072,53.1579857,-27.8458786,1,7.48,0.0002197,25524400.0,0.04922,0.3538,0.266366,0.426591,0.490304,0,,,15665828.75104156,38602271.966037184,0
10077,53.0951271,-27.8464069,1,7.8,0.006212,1172220000.0,0.1505,0.4242,0.0948839,0.192484,0.273804,0,,,745362111.8840817,1720063185.282153,0
10119,53.139679,-27.8461723,1,8.17,0.0003952,307421000.0,0.0467,0.745,0.040753,0.130921,0.210335,0,,,218588950.0009976,410968100.7056794,0
10131,53.1511421,-27.846056,1,8.71,0.002899,56815100000.0,6.761,2.6124,0.165882,0.198596,0.214679,0,,,37590551770.56008,79333887912.3692,0
10138,53.0896187,-27.8462505,1,8.33,-0.005183,-5723710000.0,-0.5864,0.9077,0.0558559,0.125464,0.224141,0,,,-3490516175.2868752,-8383194903.036546,0
10140,53.069149,-27.8463078,1,8.51,-0.0003259,-2101180000.0,-0.04329,1.5285,0.114091,0.169002,0.234935,0,,,-1420987062.0665493,-2897108703.57677,0
