Seq,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
21664,53.1046867,-27.754221,1,0.004084,110387000000.0,2.7915,0.117407,0.179524,0.162185,0,,
21665,53.1713791,-27.7540836,1,0.003312,28100500000.0,2.0809,0.0727932,0.137035,0.152803,0,,
21673,53.0953331,-27.7521458,1,0.006564,2255120000.0,0.5255,0.265081,1.06021,2.30563,0,,
21675,53.0940857,-27.7533722,1,0.000353,10544800000.0,2.8503,0.382365,0.554798,0.52109,0,,
21676,53.169548,-27.753685,1,0.0004257,1295310000.0,1.2573,0.35744,0.49046,0.488409,0,,
21678,53.1123047,-27.7524014,1,0.005172,170202000000.0,2.9058,0.625293,1.19261,1.1081,0,,
21686,53.0708237,-27.7532482,1,0.0001237,217936000.0,1.0684,0.639061,1.05518,1.31463,0,,
21690,53.0189552,-27.753643,1,0.001885,167313000000.0,3.3381,0.302976,0.256432,0.158967,0,,
21691,53.1917114,-27.7526665,1,0.01672,24244400000.0,1.0135,0.340706,1.17406,3.865,0,,
21692,53.1878128,-27.7534332,1,0.005217,42903300000.0,2.0551,0.545405,0.752018,0.845798,0,,
21693,53.0229836,-27.7532635,1,0.001279,9773880000.0,1.9813,0.874434,1.221,1.48809,0,,
21694,53.1237717,-27.7520123,1,0.02541,19264000000.0,0.7353,2.43457,4.67096,8.28392,0,,
21702,53.1405449,-27.7521191,1,0.126,886419000000.0,1.8697,0.96573,3.09121,9.1882,0,,
21709,53.1979027,-27.7530499,1,0.002987,24931200000.0,2.0653,0.439749,0.711205,0.825465,0,,
21710,53.1975288,-27.753315,1,0.001523,38385600000.0,2.7534,0.399419,0.886738,0.706891,0,,
21717,53.0639839,-27.7519283,1,0.05619,55765300000.0,0.8636,2.95252,5.99097,10.1399,0,,
21720,53.1387253,-27.7531376,1,0.002084,325321000.0,0.3946,0.144579,0.217613,0.338762,0,,
21724,53.0792084,-27.7528973,1,0.009975,7362740000.0,0.7282,1.35024,2.87234,5.1287,0,,
21728,53.1518707,-27.7530327,1,0.0004567,804621000.0,1.069,0.153438,0.371091,0.555963,0,,
21730,53.1218224,-27.7527046,1,0.1627,1278400000000.0,2.0062,0.228947,1.02054,7.33955,0,,
21731,53.1402435,-27.7529106,1,0.004412,269894000000.0,3.1763,0.327536,0.713565,0.935681,0,,
21736,53.0282974,-27.7536163,1,0.005545,201662000000.0,2.9536,0.145968,0.205258,0.25765,0,,
21737,53.1309052,-27.7532463,1,0.001971,6266160000.0,1.2675,0.115624,0.289379,0.459773,0,,
21739,53.0487289,-27.7520981,1,0.009951,6262230000.0,0.6829,1.93622,3.15434,3.79398,0,,
21740,53.0777245,-27.7534981,1,0.004,72911100000.0,2.5854,0.150567,0.188826,0.234133,0,,
21743,53.0378685,-27.7530041,1,2.67e-05,4373610.0,0.3955,0.40709,0.788664,1.18042,0,,
21752,53.1800423,-27.7491646,1,0.143,54876900000.0,0.5473,7.23604,25.5981,76.1324,0,,
21755,53.1304588,-27.7533302,1,0.001666,1361610000.0,0.7621,0.05643,0.120821,0.161796,0,,
21757,53.0567093,-27.7514954,1,0.09397,69361100000.0,0.7465,0.557535,2.14822,9.18802,0,,
21761,53.1152573,-27.7516022,1,0.003528,7020290000.0,1.0931,0.7494,1.66524,2.45978,0,,
21762,53.2023506,-27.7512722,1,0.1485,270575000000.0,1.0843,1.6358,8.37095,37.8611,0,,
21764,53.0963936,-27.7532406,1,0.006533,10431700000.0,1.0447,0.101899,0.161626,0.295799,0,,
21772,53.0800285,-27.7520943,1,0.001938,1063530000.0,0.6398,0.719621,1.4314,2.03179,0,,
21775,53.1754036,-27.7525654,1,0.001866,4035070000.0,1.1458,0.190181,0.291811,0.405079,0,,
21776,53.1831627,-27.7509861,1,0.01766,6309910000.0,0.5305,1.87875,3.88454,8.19173,0,,
21781,53.163578,-27.7530899,1,0.0007367,917795000.0,0.963,0.0976375,0.179491,0.277991,0,,
21782,53.1320419,-27.7528019,1,0.003877,963520000000.0,4.0137,0.472902,0.564169,0.575606,0,,
21786,53.1579094,-27.752224,1,0.008063,12064700000.0,1.0179,0.605807,1.31392,2.57952,0,,
21790,53.1988449,-27.7531548,1,0.001872,2630470000.0,0.9986,0.0667544,0.121044,0.154698,0,,
21794,53.1318779,-27.7513542,1,0.02677,51762100000.0,1.0817,1.15381,2.63412,4.80461,0,,
21795,53.1264801,-27.7503166,1,0.09597,2173420000000.0,2.6902,3.43296,6.80604,13.3159,0,,
21796,53.0304947,-27.7526951,1,0.003916,1108110000000.0,4.3327,0.269535,0.933488,2.42387,0,,
21797,53.0665398,-27.7521725,1,0.001519,930526000.0,0.6685,1.09675,2.04893,3.35715,0,,
21798,53.1049767,-27.7528172,1,0.007746,31055300000.0,1.3248,0.17284,0.304556,0.338835,0,,
21802,53.1640854,-27.7527809,1,0.003802,32257900000.0,2.0828,0.181441,0.348071,0.320766,0,,
21803,53.1867714,-27.7526321,1,0.001055,9324690000.0,2.131,0.13913,0.274955,0.379616,0,,
21805,53.0897942,-27.7524185,1,0.0006487,101265000.0,0.3973,0.129784,0.36782,0.629886,0,,
21807,53.1268311,-27.7530403,1,0.004054,637901000000.0,3.68,0.0919492,0.159664,0.344586,0,,
