,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
7848,34.3567429,-5.2286568,1,0.02675,26547800000.0,0.8635,1.22008,3.49833,9.87322,0,,
7850,34.3880539,-5.2296324,1,0.002854,1659530000.0,0.6553,0.768081,1.29841,1.89137,0,,
7852,34.2745132,-5.2302055,1,0.009136,590872000000.0,3.2087,0.189542,0.349638,0.330056,0,,
7853,34.2733688,-5.2295303,1,0.0008161,877592000.0,0.9009,0.428153,0.958116,1.92005,0,,
7856,34.3355865,-5.2301664,1,0.002646,17059600000.0,1.529,0.189035,0.26546,0.28647,0,,
7859,34.3969765,-5.2273822,1,0.01415,7141270000.0,0.6178,2.55765,13.6955,47.1551,0,,
7860,34.275116,-5.2298751,1,0.00251,1341340000.0,0.6304,0.225865,0.450253,0.72128,0,,
7863,34.2309456,-5.2303863,1,0.03172,284336000000.0,2.1426,0.104544,0.142514,0.0158566,0,,
7870,34.2897148,-5.2301111,1,0.006618,11659700000.0,1.0746,0.0813476,0.177388,0.337248,0,,
7871,34.3147621,-5.2301183,1,0.01329,4416340000000.0,5.2657,0.242781,0.52443,13.9577,0,,
7875,34.317997,-5.2299724,1,0.002949,14001600000.0,1.3756,0.135923,0.226864,0.264099,0,,
7878,34.2611351,-5.2302632,1,0.01337,2522950000.0,0.4256,0.135252,0.174831,0.145888,0,,
7881,34.4083557,-5.2287498,1,0.008888,150361000000.0,2.5532,0.924469,1.43248,1.90125,0,,
7882,34.3858376,-5.2294135,1,0.03647,3684140000000.0,3.406,0.805423,1.53775,1.94772,0,,
7884,34.3094254,-5.2295513,1,0.00427,261207000000.0,3.179,0.247842,0.266973,0.0797545,0,,
7886,34.3477135,-5.2300062,1,0.0235,179583000000.0,1.9776,0.173293,0.217812,0.496654,0,,
7887,34.2172089,-5.2294507,1,0.02055,2799880000000.0,3.5799,0.523962,1.04297,2.72729,0,,
7888,34.4075089,-5.2277861,1,0.1982,87951500000.0,0.5846,2.53047,8.13092,35.4275,0,,
7892,34.3757439,-5.2297573,1,0.001003,631194000.0,0.6807,0.141123,0.300148,0.442396,0,,
7893,34.3022614,-5.2295585,1,0.006508,1765110000000.0,4.198,0.879281,1.38593,0.974796,0,,
7897,34.2769928,-5.2285891,1,0.01006,11628700000.0,0.9296,0.904239,2.33484,6.4214,0,,
7899,34.2769585,-5.2279615,1,0.01106,5423400000.0,0.6082,2.00655,9.40093,25.3677,0,,
7903,34.4050713,-5.2284369,1,0.03359,19531800000.0,0.653,0.628597,3.26626,8.99254,0,,
7906,34.2869225,-5.2298741,1,0.00535,47957100000.0,2.1495,0.10672,0.222309,0.273255,0,,
7909,34.3888321,-5.2293339,1,0.01781,17194400000.0,0.8495,0.164929,0.486946,1.11661,0,,
7914,34.4028854,-5.2281094,1,0.01324,8110710000.0,0.6675,1.31623,6.41316,17.366,0,,
7915,34.3999977,-5.2268023,1,0.1445,2046730000000.0,2.4684,2.78878,6.2074,15.0991,0,,
7917,34.3215027,-5.2284627,1,0.005001,39295000000.0,2.0146,0.783261,1.48129,2.66633,0,,
7929,34.3600197,-5.2280207,1,0.01289,122947000000.0,2.2083,1.2452,1.66688,1.66688,0,,
7930,34.2730751,-5.2294025,1,0.006061,298941000000.0,3.1071,0.712003,1.02044,1.0466,0,,
7932,34.2774544,-5.2286577,1,0.01744,143422000000.0,2.0623,0.887628,2.0844,6.04238,0,,
7933,34.3745537,-5.2283487,1,0.02938,207867000000.0,1.6229,1.67838,3.98257,8.23058,0,,
7936,34.2764626,-5.2286582,1,0.001051,159782000000.0,3.6487,0.48179,0.914445,1.0177,0,,
7937,34.231369,-5.229094,1,0.009551,180761000000.0,2.6007,0.0486376,0.330043,1.36307,0,,
7941,34.3091621,-5.2284689,1,0.004574,8334070000.0,1.085,0.862162,1.35488,2.01683,0,,
7942,34.4025955,-5.2261686,1,0.00741,4066430000.0,0.6358,2.12879,13.6017,55.7205,0,,
7944,34.3070145,-5.228126,1,0.1928,1659070000000.0,2.1055,1.22287,4.77996,19.9685,0,,
7945,34.3940239,-5.2287588,1,0.008945,63884000000.0,1.7094,0.257524,0.475821,0.619709,0,,
7947,34.2774696,-5.2290897,1,0.01541,8006470000.0,0.6193,0.189578,0.403463,0.889901,0,,
7948,34.3100967,-5.2289224,1,0.01404,8600780000.0,0.6703,0.404313,0.6246,0.745879,0,,
7954,34.3747673,-5.2275271,1,0.15,763720000000.0,1.3931,2.64171,8.10216,23.9334,0,,
7955,34.2777214,-5.2295918,1,0.003545,41220900000.0,2.3518,0.102624,0.165302,0.527378,0,,
7958,34.32584,-5.2298121,1,0.01961,145948000000.0,1.952,0.100976,0.160495,0.237478,0,,
7959,34.2415695,-5.227972,1,0.007625,8814000000.0,0.9331,1.40149,2.69236,4.13568,0,,
7960,34.3837051,-5.2276793,1,0.03105,15670400000.0,0.6168,1.06689,6.29029,22.7978,0,,
7961,34.2998009,-5.2290158,1,0.007767,65898700000.0,2.0921,0.534553,0.653816,0.726908,0,,
7964,34.3932877,-5.2263308,1,0.00819,7311880000.0,0.7997,1.4692,3.3937,7.64043,0,,
7967,34.3480797,-5.2294006,1,0.003561,330448000000.0,3.3628,0.181447,0.192451,0.158827,0,,
7968,34.3090363,-5.2294021,1,0.004412,197269000000.0,3.0537,0.170831,0.184711,0.3476,0,,
7970,34.326519,-5.2290668,1,0.006622,46128600000.0,1.7957,0.17915,0.335128,0.441732,0,,
